method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
P-ES;49244;0.08892744501649169;1;90823;62038
P-MRO;49245;0.021206992167956892;0;87384;58030
QACM;49246;0.09220926840716344;1;96018;64106
NC;49442;0.02804862986281451;0;88885;59971
SBD;49443;0.22078703479339223;0;82573;55013
P-ES;49444;0.09252226973418044;1;99678;68197
P-MRO;49445;0.02181557472893962;0;89008;60343
QACM;49446;0.10476949544952605;2;96838;64968
NC;49542;0.024371089274116634;2;93703;62348
SBD;49543;0.19654285371546554;0;95345;63600
P-ES;49544;0.09705533266960895;0;87832;57915
P-MRO;49545;0.023404614188886848;0;91124;61341
QACM;49546;0.09995027722801668;0;89344;58458
NC;49642;0.02601292927554478;0;99024;65314
SBD;49643;0.19143423765287904;0;95542;61832
P-ES;49644;0.08644716784371406;0;91439;58307
P-MRO;49645;0.021546531091474756;0;87669;59107
QACM;49646;0.10914570047642591;0;88547;58501
NC;49742;0.025054783520705233;0;90953;58510
SBD;49743;0.19765826193275995;0;87555;58090
P-ES;49744;0.09900993744377258;0;97537;67111
P-MRO;49745;0.021929473781823826;0;87811;59455
QACM;49746;0.09550246769843428;1;93942;61643
NC;49942;0.026939987729158198;0;92719;60435
SBD;49943;0.21074880661410278;0;94350;60413
P-ES;49944;0.09140325579009605;0;92705;60514
P-MRO;49945;0.020282932490214303;0;92597;61474
QACM;49946;0.09375322049650918;2;95070;62442
NC;49842;0.027413821370209306;0;89103;57616
SBD;49843;0.2133204709196093;0;97432;64256
P-ES;49844;0.10227443360703964;0;95502;64415
P-MRO;49845;0.022303771303504298;0;94188;62269
QACM;49846;0.09314409196686836;1;84887;55582
