method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
P-MRO;41145;0.021696749853585925;0;80408;54252
QACM;41146;0.09442912947841794;0;97189;63192
NC;41242;0.02335898412351382;0;92856;63194
SBD;41243;0.18871974882778023;0;80247;54517
P-ES;41244;0.0962227909418932;0;87017;59175
P-MRO;41245;0.0221380666006304;0;84288;56267
QACM;41246;0.09029022264720662;1;90792;59412
NC;40942;0.024577593217559646;0;95174;59714
SBD;40943;0.19008187835057053;0;104518;69246
P-ES;40944;0.09565870103319292;0;92133;62630
P-MRO;40945;0.020230677527168617;0;88975;61430
QACM;40946;0.09482987242489764;1;88007;58467
NC;41042;0.026167037694238542;0;91403;63000
SBD;41043;0.19776780678078315;0;90372;62437
P-ES;41044;0.09176757759039965;2;92315;59281
P-MRO;41045;0.022692302536080976;0;89741;59531
QACM;41046;0.08643743541623325;0;87878;58296
NC;41342;0.024912363670799867;0;95361;61608
SBD;41343;0.19828920748951423;0;95930;65162
P-ES;41344;0.08890976741003266;1;92786;61649
P-MRO;41345;0.022495081577533115;0;97542;64079
QACM;41346;0.0998754872369244;0;86704;58479
NC;41442;0.02270565734463222;0;98081;64424
SBD;41443;0.19518934570256644;0;103801;68719
P-ES;41444;0.08652689388627861;1;90710;62840
P-MRO;41445;0.021263283818754523;0;85142;54351
QACM;41446;0.09912806352574127;0;90410;61072
NC;41542;0.02650443309728188;1;95926;62583
SBD;41543;0.21499729154781172;0;96127;62778
P-ES;41544;0.09749205707014913;0;95964;65603
P-MRO;41545;0.022701147257197303;0;84152;56199
QACM;41546;0.08559204014883773;2;96727;64345
NC;41642;0.026177738135007886;0;107032;70322
SBD;41643;0.20382188399960555;0;90853;60068
P-ES;41644;0.09993731640361035;1;93114;62616
P-MRO;41645;0.021831166863284204;0;94832;64995
QACM;41646;0.08969429531050352;0;98559;66201
NC;41742;0.027729517679785688;0;100918;66442
SBD;41743;0.20485680035755702;0;97751;65030
P-ES;41744;0.09662691730557828;1;100113;66323
P-MRO;41745;0.02184937326140752;0;84912;57332
QACM;41746;0.10278978855253756;2;87716;60491
