time,satisfaction
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0225563909774436
20.0,0.0216216216216216
21.0,0.0265486725663717
22.0,0.0218181818181818
23.0,0.0248447204968944
24.0,0.0258620689655172
25.0,0.0222222222222222
26.0,0.0217983651226158
27.0,0.0241286863270777
28.0,0.0184696569920844
29.0,0.0184210526315789
30.0,0.0184210526315789
31.0,0.0157894736842105
32.0,0.0157894736842105
33.0,0.0157894736842105
34.0,0.0131578947368421
35.0,0.0131578947368421
36.0,0.0157894736842105
37.0,0.0157894736842105
38.0,0.0157894736842105
39.0,0.0184210526315789
40.0,0.0184210526315789
41.0,0.0210526315789474
42.0,0.0210526315789474
43.0,0.0236842105263158
44.0,0.0236842105263158
45.0,0.0236842105263158
46.0,0.0236842105263158
47.0,0.0236842105263158
48.0,0.0210526315789474
49.0,0.0210526315789474
50.0,0.0210526315789474
51.0,0.0210526315789474
52.0,0.0210526315789474
53.0,0.0210526315789474
54.0,0.0263157894736842
55.0,0.0263157894736842
56.0,0.0289473684210526
57.0,0.0315789473684211
58.0,0.0315789473684211
59.0,0.0315789473684211
60.0,0.0315789473684211
61.0,0.0289473684210526
62.0,0.0289473684210526
63.0,0.0289473684210526
64.0,0.0289473684210526
65.0,0.0263157894736842
66.0,0.0263157894736842
67.0,0.0263157894736842
68.0,0.0236842105263158
69.0,0.0236842105263158
70.0,0.0236842105263158
71.0,0.0236842105263158
72.0,0.0236842105263158
73.0,0.0210526315789474
74.0,0.0210526315789474
75.0,0.0184210526315789
76.0,0.0184210526315789
77.0,0.0157894736842105
78.0,0.0131578947368421
79.0,0.0131578947368421
80.0,0.0131578947368421
81.0,0.0131578947368421
82.0,0.0131578947368421
83.0,0.0131578947368421
84.0,0.0131578947368421
85.0,0.0131578947368421
86.0,0.0105263157894737
87.0,0.0105263157894737
88.0,0.0105263157894737
89.0,0.0078947368421053
90.0,0.0078947368421053
91.0,0.0078947368421053
92.0,0.0078947368421053
93.0,0.0078947368421053
94.0,0.0078947368421053
95.0,0.0078947368421053
96.0,0.0078947368421053
97.0,0.0105263157894737
98.0,0.0131578947368421
99.0,0.0157894736842105
100.0,0.0157894736842105
101.0,0.0184210526315789
102.0,0.0157894736842105
103.0,0.0184210526315789
104.0,0.0184210526315789
105.0,0.0184210526315789
106.0,0.0184210526315789
107.0,0.0157894736842105
108.0,0.0157894736842105
109.0,0.0157894736842105
110.0,0.0157894736842105
111.0,0.0210526315789474
112.0,0.0236842105263158
113.0,0.0236842105263158
114.0,0.0210526315789474
115.0,0.0184210526315789
116.0,0.0184210526315789
117.0,0.0210526315789474
118.0,0.0210526315789474
119.0,0.0210526315789474
120.0,0.0210526315789474
121.0,0.0210526315789474
122.0,0.0236842105263158
123.0,0.0236842105263158
124.0,0.0236842105263158
125.0,0.0236842105263158
126.0,0.0263157894736842
127.0,0.0263157894736842
128.0,0.0289473684210526
129.0,0.0315789473684211
130.0,0.0315789473684211
131.0,0.0315789473684211
132.0,0.0315789473684211
133.0,0.0315789473684211
134.0,0.0342105263157895
135.0,0.0368421052631579
136.0,0.0342105263157895
137.0,0.0315789473684211
138.0,0.0289473684210526
139.0,0.0289473684210526
140.0,0.0289473684210526
141.0,0.0236842105263158
142.0,0.0236842105263158
143.0,0.0184210526315789
144.0,0.0210526315789474
145.0,0.0210526315789474
146.0,0.0210526315789474
147.0,0.0210526315789474
148.0,0.0236842105263158
149.0,0.0289473684210526
150.0,0.0289473684210526
151.0,0.0263157894736842
152.0,0.0263157894736842
153.0,0.0263157894736842
154.0,0.0263157894736842
155.0,0.0263157894736842
156.0,0.0263157894736842
157.0,0.0210526315789474
158.0,0.0236842105263158
159.0,0.0210526315789474
160.0,0.0236842105263158
161.0,0.0236842105263158
162.0,0.0210526315789474
163.0,0.0236842105263158
164.0,0.0184210526315789
165.0,0.0263157894736842
166.0,0.0263157894736842
167.0,0.0263157894736842
168.0,0.0263157894736842
169.0,0.0263157894736842
170.0,0.0263157894736842
171.0,0.0263157894736842
172.0,0.0289473684210526
173.0,0.0263157894736842
174.0,0.0236842105263158
175.0,0.0236842105263158
176.0,0.0263157894736842
177.0,0.0263157894736842
178.0,0.0236842105263158
179.0,0.0236842105263158
180.0,0.0210526315789474
181.0,0.0210526315789474
182.0,0.0210526315789474
183.0,0.0210526315789474
184.0,0.0184210526315789
185.0,0.0184210526315789
186.0,0.0184210526315789
187.0,0.0184210526315789
188.0,0.0184210526315789
189.0,0.0210526315789474
190.0,0.0210526315789474
191.0,0.0210526315789474
192.0,0.0184210526315789
193.0,0.0184210526315789
194.0,0.0157894736842105
195.0,0.0157894736842105
196.0,0.0157894736842105
197.0,0.0131578947368421
198.0,0.0105263157894737
199.0,0.0105263157894737
200.0,0.0105263157894737
201.0,0.0105263157894737
