time,availability
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,0.9857752489331437
13.0,1.0
14.0,0.9535324798482694
15.0,0.950687529634898
16.0,0.9734471313418682
17.0,0.9715504978662873
18.0,0.9592223802750117
19.0,0.948316737790422
20.0,0.9089615931721194
21.0,0.8937885253674727
22.0,0.9132290184921764
23.0,0.8345187292555714
24.0,0.9179706021811285
25.0,0.8918918918918918
26.0,0.9165481270744428
27.0,0.9165481270744428
28.0,0.9174964438122333
29.0,0.9279279279279279
30.0,0.9279279279279279
31.0,0.9255571360834518
32.0,0.928402086296823
33.0,0.9288762446657184
34.0,0.9340919867235657
