time,satisfaction
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,0.9373042447495311
19.0,0.9178445161948978
20.0,0.8964873297227034
21.0,0.8700201300053452
22.0,0.9101687574411105
23.0,0.9606079536909166
24.0,0.9536232557091443
25.0,0.9290812542354643
26.0,0.9288687071415569
27.0,0.9364177328532006
28.0,0.9501596974842151
29.0,0.9600075174522259
30.0,0.9315705349812086
31.0,0.9736863700179347
32.0,0.9294480501140313
33.0,0.9625311044402303
34.0,0.932347276225864
35.0,0.9519308803462814
36.0,0.9054362528008154
37.0,0.9368807998544442
38.0,0.8765261898883635
39.0,0.9159527478460614
40.0,0.9495491536392962
41.0,0.9359583517590225
42.0,0.9320595604678648
43.0,0.9476442989033615
44.0,0.9143862378472217
45.0,0.9354318902713331
46.0,0.9638079323581885
47.0,0.9449766515173339
