time,user,x pos,y pos
10.2,140,2288.98574703386,-1096.056646404956
10.6,211,2359.601319602049,2133.830686857938
12.95,265,3320.762987135475,1566.564256244465
13.95,142,1665.349791849823,831.164709769501
14.15,94,-1249.514775763951,2096.250108146538
14.2,181,2802.690602508836,2929.051724947727
14.3,146,-366.59718105167,-1461.746763838772
14.35,85,3958.812460404751,985.342343712093
14.6,65,-1806.097381897771,1053.760395212961
15.85,50,3294.30939125694,222.704721466025
15.9,135,3454.59867241161,1905.388722548052
15.9,218,3805.273775640373,881.755834294799
15.95,30,228.970720661426,-1289.173469929866
15.95,363,-875.405262493038,-805.45221883816
16.05,342,-366.958030048872,1481.542439842666
16.05,355,-133.984395516919,-1427.285950118257
16.2,241,3791.377218503533,934.45762063886
16.2,261,3319.743250544964,36.9477159505
16.35,81,640.904388575007,3040.962082133714
16.5,330,2901.161133751541,2708.19724754699
16.65,308,1495.374836375908,1232.390964526905
16.65,325,227.168730258847,-1507.052780451605
16.9,368,1940.296823223356,-1152.393190140608
17.0,29,2865.501861413688,2414.522675789304
17.05,42,121.493865302778,596.033564524305
17.1,69,95.106476275272,275.596404615582
17.15,49,2939.671725649294,2082.322669028832
17.15,228,1062.060161562772,8.541815065685
17.15,375,-558.639079903122,925.344360956584
17.2,64,410.687678028228,2897.375650747309
17.2,77,1165.457923352033,3497.443405177923
17.25,15,-1397.489086228313,1162.47106029213
17.3,291,526.485035398276,1711.95079884231
17.35,296,2829.897341549059,-366.889183265791
17.35,324,-1460.379560313516,434.718264538025
17.4,173,-1687.497446152472,997.775584982516
17.55,203,-477.482595048979,2915.435374984934
17.65,210,1157.992758236378,1662.913099793203
17.7,84,276.140942734812,-1505.98129846175
17.8,20,1393.737547998003,3152.453669346917
17.85,348,1481.356348843713,715.700728048497
17.95,26,-1255.075326644942,207.429993496035
18.0,149,1753.672350034682,3442.588710576393
18.0,188,-882.777361950149,-523.982666434361
18.1,354,-383.420613572087,3408.994651840157
18.15,33,3077.929744841824,1364.53058860121
18.15,190,3488.41421263056,1756.36777616617
18.2,13,-933.23728258241,2760.712929086032
18.2,268,1296.398773175197,3245.115059234982
18.3,62,2055.000279693109,-1341.050300751869
18.3,107,-1237.542415588595,-138.047158609474
18.3,125,1859.733002606336,2203.110355621821
18.4,0,-1142.578150688251,-155.991299674079
18.4,37,1965.539245234334,-1262.622564808285
18.4,48,544.91047007859,3381.624190434462
18.6,295,1874.714477366519,3336.138725238434
18.6,305,1262.670177272625,1644.352908759307
18.65,271,1550.239134132752,1542.804006367887
18.7,263,3550.622536747361,371.488758274373
18.75,11,1860.058584197784,1684.755260502646
18.75,214,-343.038209950857,3237.156127289089
18.75,223,807.865423755411,1557.318556761777
18.75,351,3301.491797429057,157.991644482417
18.8,238,1869.501002490977,-136.274269057268
18.85,177,-1198.515907960314,1506.489183519566
18.85,189,-24.487033221921,3481.249322175485
19.0,144,438.713008649893,303.452005055582
19.0,209,-912.539510131269,1490.549042480519
19.05,115,1100.291827327431,-1112.152922977102
19.1,165,193.135311570591,-1493.343785385051
19.15,100,-1616.489761133048,1602.308280573615
19.2,32,2075.605810852759,1722.140536657684
19.25,279,2590.006716872083,727.467529068341
19.3,43,1683.589732595588,-1428.342971017667
19.3,204,-392.829997334082,-856.384238065104
19.5,360,93.290823204479,-359.6647289835
19.6,10,-653.599928948948,-907.622010595681
19.6,74,-740.486110531354,2804.011190569933
19.65,300,3012.798844447366,2466.819168327755
19.7,7,1514.611499512278,-1359.774557586384
19.7,229,-1617.632421875335,1023.986080960366
19.75,59,-730.199821616303,-758.345060480501
19.75,90,1556.211230353688,1185.050055859279
19.8,91,683.54270734815,1953.519859457518
19.85,75,2783.580556729589,-441.668408989331
19.85,239,548.902189065019,-1365.764516096714
19.9,57,1456.510518431484,-301.530790822982
19.9,117,-171.974521329058,-1438.031210710739
19.9,216,3408.453251207683,742.757158345225
19.95,168,-1151.228886794855,238.724282705181
19.95,225,-393.0640599932,-1131.644459590545
20.0,341,2939.706351194156,2793.844416958421
20.05,124,3479.345432576008,602.634632970204
20.1,170,3297.197256465975,432.373958678361
20.15,16,2106.382447004705,3533.210534839759
20.25,83,2340.259776123416,3114.928705441267
20.25,242,2312.611941767269,1274.404659646576
20.3,276,-1934.863678628438,951.787072025752
20.4,154,2762.620348538958,-929.98925046889
20.4,182,-1372.997442190265,-5.097662663224
20.4,378,-1151.261243259138,608.665800138284
20.5,191,3339.774027378524,1402.199371844651
20.5,288,1512.057407102962,-1062.33311631635
20.65,123,1194.848409676203,3495.386563298933
20.65,345,141.359048031326,3106.055073591173
20.7,79,524.346682650299,-1261.957172061954
20.95,4,1437.098364459783,3384.146798656263
20.95,379,3144.454096438555,-99.657649143674
21.0,230,19.100488584385,-297.588538564116
21.05,2,539.46916830548,711.184059655331
21.05,21,187.798498071475,-248.652609493252
21.1,120,764.828651727562,2474.386779406347
21.1,306,-172.380276881635,1480.681809235539
21.15,255,-609.096119385793,3276.268866295828
21.2,311,596.49961265634,3235.601691494584
21.25,6,2001.782754233453,2428.777367500036
21.25,175,2306.832445621984,-1160.541295584236
21.3,147,-675.847310457225,1210.216499624109
21.3,343,938.652144932022,1610.085727911664
21.35,337,198.50136023196,-1378.305557477818
21.4,53,914.925315514021,455.756671362595
21.45,299,1441.494761315146,2630.765837454724
21.45,320,1963.739768064513,32.989289231339
21.45,327,-1230.072699062599,2235.660495661849
21.45,370,2339.772940431208,176.066627782972
21.5,36,1573.974062262303,3271.020976232376
21.55,55,-1054.390340268939,2355.543446117034
21.65,234,2508.27154655935,-848.999423632783
21.75,197,635.362867004629,3415.592652593059
21.8,132,1012.417235024317,3496.772793188999
21.8,256,861.574406665128,2168.507596139959
21.85,5,3209.019865014242,543.028336232442
21.9,138,1343.510901178452,-1553.929591238695
21.9,184,-47.554305110434,373.827381824796
21.9,352,1808.193701147893,742.080181295653
22.0,339,1246.333518615354,3532.8597900308
22.05,267,2883.159999897445,86.720867421531
22.05,270,-548.124941067341,-500.109084642865
22.2,364,-581.886257341247,3005.584384826406
22.25,233,2237.881277130766,48.03236128489
22.25,319,-183.925375286405,2385.523972591939
22.3,171,-1048.096452885079,1679.812726619391
22.3,178,3290.350782489024,1336.948064230166
22.35,294,-489.543003358159,1347.195071604971
22.45,112,958.018108477974,1627.334194586635
22.45,213,2563.772665835227,838.538089305221
22.6,185,1533.705813410804,3146.572844501145
22.7,152,2082.578781496597,2191.140660869023
22.75,244,476.948672427148,-1445.46987847837
22.95,47,2207.886500872213,3093.115817122575
22.95,137,-1352.563069748286,1652.05604571743
23.15,139,3454.468799219102,275.023568948819
23.2,161,2785.178728485346,-246.950033324777
23.25,150,-647.521839803893,3065.57461744094
23.35,63,1558.090850499859,3013.669773971434
23.35,264,3215.929751814524,422.103154337228
23.4,258,-594.470497674228,-761.874684368846
23.55,251,2190.986721491559,1759.378686501715
23.8,309,831.175701562354,-1310.508626425678
23.85,217,574.665015384847,2740.739162868477
23.9,12,1914.739872825549,-1529.980834476402
23.9,98,-392.40049291784,2484.239125944728
23.95,329,14.001287100207,3320.169351870174
24.0,240,3365.264412523209,452.592227955811
24.15,317,1098.170830003253,1508.405467999939
24.2,328,359.400486449495,-1572.739641071443
24.55,307,-546.032331771831,-1110.809579974719
24.65,344,3222.392760162699,1445.77696089346
25.25,88,-1573.357848503671,727.866381803461
25.25,283,-532.704179193097,1265.019444813951
25.35,153,1375.586025537098,1162.330651101463
25.4,211,2288.964044717278,2155.884607073137
25.45,290,2410.357501082487,-553.406654339488
25.5,254,3588.706398945258,1194.437306679442
25.55,111,324.787056644474,3067.631502392266
25.65,46,666.12628814848,-1409.015573122296
25.75,265,3376.283158571257,1534.728575574186
26.05,118,-562.33553613792,-524.839926114491
26.15,208,2419.720994637542,-1470.507550904901
26.3,249,-1362.929970988127,1919.599148641607
26.85,104,-1151.097405130993,-356.3164866625
27.1,322,-1320.866121045026,490.166087622087
28.05,231,2191.516901777019,3549.249256192409
28.3,146,-389.98426411267,-1527.724368720245
28.4,228,1017.772163354431,-26.137223483542
30.15,65,-1883.396698774252,1045.40108241674
