time,current bs,availability,cio,hyst,ttt
0.0,10,1.0,0.0,1.0,0.08
1.0,10,1.0,0.0,1.0,0.08
2.0,10,1.0,0.0,1.0,0.08
3.0,10,1.0,0.0,1.0,0.08
4.0,10,1.0,0.0,1.0,0.08
5.0,10,1.0,0.0,1.0,0.08
6.0,10,1.0,0.0,1.0,0.08
7.0,10,1.0,0.0,1.0,0.08
8.0,10,1.0,0.0,1.0,0.08
9.0,10,1.0,0.0,1.0,0.08
10.0,10,1.0,0.0,1.0,0.08
11.0,10,1.0,0.0,1.0,0.08
12.0,10,1.0,0.0,1.0,0.08
13.0,10,1.0,0.0,1.0,0.08
14.0,10,1.0,0.0,1.0,0.08
15.0,10,1.0,0.0,1.0,0.08
16.0,10,1.0,0.0,1.0,0.08
17.0,10,1.0,0.0,1.0,0.08
18.0,10,1.0,0.0,1.0,0.08
19.0,10,0.7658,0.0,1.0,0.08
20.0,10,0.7658,0.0,1.0,0.08
21.0,10,0.7658,0.0,1.0,0.08
22.0,10,0.7658,0.0,1.0,0.08
23.0,10,0.7658,0.0,1.0,0.08
24.0,10,0.7658,0.0,1.0,0.08
25.0,10,1.0,0.0,1.0,0.08
26.0,10,1.0,0.0,1.0,0.08
