time,current bs,availability,cio,hyst,ttt
0.0,9,1.0,0.0,1.0,0.08
1.0,9,1.0,0.0,1.0,0.08
2.0,9,1.0,0.0,1.0,0.08
3.0,9,1.0,0.0,1.0,0.08
4.0,9,1.0,0.0,1.0,0.08
5.0,9,1.0,0.0,1.0,0.08
6.0,9,1.0,0.0,1.0,0.08
7.0,9,1.0,0.0,1.0,0.08
8.0,9,1.0,0.0,1.0,0.08
9.0,9,1.0,0.0,1.0,0.08
10.0,9,1.0,0.0,1.0,0.08
11.0,9,1.0,0.0,1.0,0.08
12.0,9,1.0,0.0,1.0,0.08
13.0,9,1.0,0.0,1.0,0.08
14.0,9,1.0,0.0,1.0,0.08
15.0,9,1.0,0.0,1.0,0.08
16.0,9,1.0,0.0,1.0,0.08
17.0,9,1.0,0.0,1.0,0.08
18.0,9,1.0,0.0,1.0,0.08
19.0,9,1.0,0.0,1.0,0.08
20.0,9,0.991,0.0,1.0,0.08
21.0,9,0.9189,0.0,1.0,0.08
22.0,9,0.9189,0.0,1.0,0.08
23.0,9,0.4505,0.0,1.0,0.08
24.0,9,0.9099,0.0,1.0,0.08
25.0,9,0.9099,0.0,1.0,0.08
26.0,9,0.9099,0.0,1.0,0.08
27.0,9,0.9099,0.0,1.0,0.08
28.0,9,0.9099,0.0,1.0,0.08
29.0,9,0.9099,0.0,1.0,0.08
30.0,9,0.9099,0.0,1.0,0.08
31.0,9,0.9099,0.0,1.0,0.08
32.0,9,0.9099,0.0,1.0,0.08
33.0,9,0.9099,0.0,1.0,0.08
34.0,9,0.9099,0.0,1.0,0.08
