time,current bs,user,conn_sinr,x pos,y pos
25.65,14,165,-6.389182133148,571.81864962956,2069.97728544589
41.35,10,357,-6.025431632739,838.236414660132,1059.335182000379
57.0,19,266,-6.468206061072,2145.091674328142,2641.361487965037
60.2,14,339,-7.873535485344,319.259932063177,1978.831594544403
63.4,14,150,-6.321887024177,612.641627866746,1828.663391433656
66.45,18,35,-8.183924148269,854.505574559135,2873.453272455229
67.4,18,330,-7.961931324869,947.367689072452,2607.508335517395
68.65,12,275,-6.420847155551,3165.348479707208,1190.201390392769
68.65,6,341,-10.065775978083,1395.032963963255,5.186990871105
73.85,5,133,-6.310707503458,371.057810239107,227.810366030198
74.0,17,316,-10.40255536121,3.268315482284,2651.754626983074
76.95,10,282,-9.242750196064,1087.597223243051,1098.887969605261
79.4,12,72,-6.47115856811,3201.115805368042,1138.450684636917
80.1,14,293,-8.228958232873,330.113089194459,1833.622549700547
81.2,14,172,-6.205049152202,385.428704924844,2025.88472961764
83.5,9,357,-6.883089126464,-214.616111424782,1015.85391227889
91.55,9,372,-7.528428353068,42.186707213216,1129.721701951676
94.95,10,379,-7.98339665945,1123.744117363337,1112.196400067494
96.25,1,75,-6.326520738772,-80.179430673402,-623.16539514401
110.9,3,242,-7.341847379765,2005.359475549109,-987.224728060215
112.25,18,76,-7.807635125855,1169.500374817298,2776.450941212634
115.6,2,157,-7.144262067302,828.922202416892,-892.35378077051
116.1,3,189,-6.535430828424,2045.58190618298,-626.888934502939
117.35,19,88,-6.631125840577,1886.400686043758,2906.945999015139
117.4,1,378,-6.515594390206,-59.041916053965,-619.78594548347
121.15,8,34,-6.655866863189,-1092.510856634714,1177.390596778949
126.3,17,295,-6.24654773395,40.182291013833,2943.471227195591
129.7,3,44,-7.503400797471,1879.199232130127,-624.451503755967
135.6,14,48,-6.508486067302,549.64558084205,2049.249560873984
135.65,19,224,-6.447081797817,1863.126224552318,2838.824383731749
138.0,16,61,-6.709924146002,2633.897307884039,1793.953684234047
141.05,13,318,-6.415946290928,-691.460763487971,1973.307750454193
141.75,19,9,-9.401010044986,1917.531466534087,2950.066997176811
143.7,14,279,-6.238057553931,595.621189422281,2029.47116787129
147.0,5,36,-9.0316273989,431.003386766301,292.003824220632
147.15,8,133,-6.119660791394,-1227.906581529503,1123.00259335127
163.5,7,238,-8.006072349685,2671.908671724859,-45.936359901203
165.45,2,177,-7.62795800887,990.17028386727,-955.004226605379
165.95,17,376,-7.253488035584,-32.210162428093,2622.963171134919
169.8,1,346,-8.195787836037,-138.309755546749,-679.863363228704
172.05,3,70,-8.672835040121,1857.15224132351,-859.592273534682
173.6,15,18,-7.461391346788,1394.245390698818,1779.769487627757
175.25,16,184,-7.94233034306,2559.290758761173,1755.298828063372
175.65,1,75,-6.689925970888,-42.250875219543,-985.478880356835
182.25,11,63,-6.598343589381,2217.521074512862,914.895892751547
191.5,7,347,-8.345919111306,2337.55723852517,115.734178732982
200.6,10,282,-9.478350982757,1149.948680085321,986.144156906331
207.45,7,249,-9.034794233056,2361.887500630043,187.373916898531
208.2,1,135,-8.70165448146,2.489314678299,-998.445879165864
211.35,4,83,-6.601264133287,-549.310605456785,-63.855939974886
212.9,19,118,-6.729212244297,1815.375180657969,2844.776370509685
223.25,6,20,-6.88682765189,1657.276383898683,-50.438699543166
224.15,3,313,-8.588241502183,1928.270010679444,-634.024504943991
228.4,10,87,-6.386563545818,1079.687989183379,1154.711598438709
232.85,6,39,-9.513574921723,1333.07395075511,94.513448226887
235.65,16,164,-6.009360615407,2720.398361630115,1940.121632219049
240.6,18,263,-6.072511071255,1065.752547984832,2577.900067313125
241.75,16,204,-8.537394599316,2405.933728621124,2004.115296129954
258.4,7,106,-8.075112094178,2445.000409918082,-30.992227022922
262.5,14,78,-6.629274062059,624.464143745948,2011.752441581946
265.15,1,213,-8.615274525155,-198.836834592078,-697.894209819506
274.2,12,199,-6.812738335991,3043.162641184413,809.460363839672
274.8,15,77,-6.75980347144,1375.734291767633,1835.550881729413
277.7,14,112,-8.127206019653,393.857177510518,2069.934158802293
285.7,8,133,-10.0592127385,-1082.12108279452,797.067572411464
294.95,16,62,-6.127045493899,2334.047002160078,1853.210712083355
295.65,14,375,-6.808252345307,303.110366700753,1994.816117566659
300.4,3,311,-6.890263685293,2060.936973386177,-990.725287004172
300.6,6,245,-7.146442684269,1420.547136963938,-43.444882486141
301.3,2,284,-6.82803342631,888.601837652089,-634.752677065615
302.45,19,105,-7.00151398392,2228.29478448665,2843.704306802335
