time,current bs,availability,cio,hyst,ttt
0.0,16,1.0,0.0,1.0,0.08
1.0,16,1.0,0.0,1.0,0.08
2.0,16,1.0,0.0,1.0,0.08
3.0,16,1.0,0.0,1.0,0.08
4.0,16,1.0,0.0,1.0,0.08
5.0,16,1.0,0.0,1.0,0.08
6.0,16,1.0,0.0,1.0,0.08
7.0,16,1.0,0.0,1.0,0.08
8.0,16,1.0,0.0,1.0,0.08
9.0,16,1.0,0.0,1.0,0.08
10.0,16,1.0,0.0,1.0,0.08
11.0,16,1.0,0.0,1.0,0.08
12.0,16,1.0,0.0,1.0,0.08
13.0,16,1.0,0.0,1.0,0.08
14.0,16,1.0,0.0,1.0,0.08
15.0,16,0.991,0.0,1.0,0.08
16.0,16,0.991,0.0,1.0,0.08
17.0,16,0.991,0.0,1.0,0.08
18.0,16,0.991,0.0,1.0,0.08
19.0,16,0.991,0.0,1.0,0.08
20.0,16,0.991,0.0,1.0,0.08
21.0,16,0.991,0.0,1.0,0.08
22.0,16,0.991,0.0,1.0,0.08
23.0,16,0.991,0.0,1.0,0.08
24.0,16,1.0,0.0,1.0,0.08
25.0,16,1.0,0.0,1.0,0.08
26.0,16,1.0,0.0,1.0,0.08
27.0,16,1.0,0.0,1.0,0.08
28.0,16,1.0,0.0,1.0,0.08
29.0,16,1.0,0.0,1.0,0.08
30.0,16,1.0,0.0,1.0,0.08
31.0,16,1.0,0.0,1.0,0.08
32.0,16,1.0,0.0,1.0,0.08
33.0,16,1.0,0.0,1.0,0.08
34.0,16,1.0,0.0,1.0,0.08
35.0,16,1.0,0.0,1.0,0.08
36.0,16,1.0,0.0,1.0,0.08
37.0,16,1.0,0.0,1.0,0.08
38.0,16,1.0,0.0,1.0,0.08
39.0,16,1.0,0.0,1.0,0.08
40.0,16,1.0,0.0,1.0,0.08
41.0,16,1.0,0.0,1.0,0.08
42.0,16,1.0,0.0,1.0,0.08
43.0,16,1.0,0.0,1.0,0.08
44.0,16,1.0,0.0,1.0,0.08
45.0,16,1.0,0.0,1.0,0.08
46.0,16,1.0,0.0,1.0,0.08
47.0,16,1.0,0.0,1.0,0.08
48.0,16,1.0,0.0,1.0,0.08
49.0,16,1.0,0.0,1.0,0.08
50.0,16,1.0,0.0,1.0,0.08
51.0,16,1.0,0.0,1.0,0.08
52.0,16,1.0,0.0,1.0,0.08
53.0,16,1.0,0.0,1.0,0.08
54.0,16,1.0,0.0,1.0,0.08
55.0,16,1.0,0.0,1.0,0.08
56.0,16,1.0,0.0,1.0,0.08
57.0,16,1.0,0.0,1.0,0.08
58.0,16,1.0,0.0,1.0,0.08
59.0,16,1.0,0.0,1.0,0.08
60.0,16,1.0,0.0,1.0,0.08
61.0,16,1.0,0.0,1.0,0.08
62.0,16,1.0,0.0,1.0,0.08
63.0,16,1.0,0.0,1.0,0.08
64.0,16,1.0,0.0,1.0,0.08
65.0,16,1.0,0.0,1.0,0.08
66.0,16,1.0,0.0,1.0,0.08
67.0,16,1.0,0.0,1.0,0.08
68.0,16,1.0,0.0,1.0,0.08
69.0,16,1.0,0.0,1.0,0.08
70.0,16,1.0,0.0,1.0,0.08
71.0,16,1.0,0.0,1.0,0.08
72.0,16,1.0,0.0,1.0,0.08
73.0,16,1.0,0.0,1.0,0.08
74.0,16,1.0,0.0,1.0,0.08
75.0,16,1.0,0.0,1.0,0.08
76.0,16,1.0,0.0,1.0,0.08
77.0,16,1.0,0.0,1.0,0.08
78.0,16,1.0,0.0,1.0,0.08
79.0,16,1.0,0.0,1.0,0.08
80.0,16,1.0,0.0,1.0,0.08
81.0,16,1.0,0.0,1.0,0.08
82.0,16,1.0,0.0,1.0,0.08
83.0,16,1.0,0.0,1.0,0.08
84.0,16,1.0,0.0,1.0,0.08
85.0,16,1.0,0.0,1.0,0.08
86.0,16,1.0,0.0,1.0,0.08
87.0,16,1.0,0.0,1.0,0.08
88.0,16,1.0,0.0,1.0,0.08
89.0,16,1.0,0.0,1.0,0.08
90.0,16,1.0,0.0,1.0,0.08
91.0,16,1.0,0.0,1.0,0.08
92.0,16,1.0,0.0,1.0,0.08
93.0,16,1.0,0.0,1.0,0.08
94.0,16,1.0,0.0,1.0,0.08
95.0,16,1.0,0.0,1.0,0.08
96.0,16,1.0,0.0,1.0,0.08
97.0,16,1.0,0.0,1.0,0.08
98.0,16,1.0,0.0,1.0,0.08
99.0,16,1.0,0.0,1.0,0.08
100.0,16,1.0,0.0,1.0,0.08
101.0,16,1.0,0.0,1.0,0.08
102.0,16,1.0,0.0,1.0,0.08
103.0,16,1.0,0.0,1.0,0.08
104.0,16,1.0,0.0,1.0,0.08
105.0,16,1.0,0.0,1.0,0.08
106.0,16,1.0,0.0,1.0,0.08
107.0,16,1.0,0.0,1.0,0.08
108.0,16,1.0,0.0,1.0,0.08
109.0,16,1.0,0.0,1.0,0.08
110.0,16,1.0,0.0,1.0,0.08
111.0,16,1.0,0.0,1.0,0.08
112.0,16,1.0,0.0,1.0,0.08
113.0,16,1.0,0.0,1.0,0.08
114.0,16,1.0,0.0,1.0,0.08
115.0,16,1.0,0.0,1.0,0.08
116.0,16,1.0,0.0,1.0,0.08
117.0,16,1.0,0.0,1.0,0.08
118.0,16,1.0,0.0,1.0,0.08
119.0,16,1.0,0.0,1.0,0.08
120.0,16,1.0,0.0,1.0,0.08
121.0,16,1.0,0.0,1.0,0.08
122.0,16,1.0,0.0,1.0,0.08
123.0,16,1.0,0.0,1.0,0.08
124.0,16,0.991,0.0,1.0,0.08
125.0,16,0.991,0.0,1.0,0.08
126.0,16,0.991,0.0,1.0,0.08
127.0,16,0.991,0.0,1.0,0.08
128.0,16,0.991,0.0,1.0,0.08
129.0,16,0.991,0.0,1.0,0.08
130.0,16,0.991,0.0,1.0,0.08
131.0,16,0.991,0.0,1.0,0.08
132.0,16,0.991,0.0,1.0,0.08
133.0,16,0.991,0.0,1.0,0.08
134.0,16,0.991,0.0,1.0,0.08
135.0,16,0.991,0.0,1.0,0.08
136.0,16,0.991,0.0,1.0,0.08
137.0,16,0.9459,0.0,1.0,0.08
138.0,16,0.9459,0.0,1.0,0.08
139.0,16,0.9459,0.0,1.0,0.08
140.0,16,0.9459,0.0,1.0,0.08
141.0,16,0.9459,0.0,1.0,0.08
142.0,16,0.9459,0.0,1.0,0.08
143.0,16,0.9459,0.0,1.0,0.08
144.0,16,0.9459,0.0,1.0,0.08
145.0,16,0.9459,0.0,1.0,0.08
146.0,16,0.9459,0.0,1.0,0.08
147.0,16,0.9459,0.0,1.0,0.08
148.0,16,0.9459,0.0,1.0,0.08
149.0,16,0.9459,0.0,1.0,0.08
150.0,16,0.9459,0.0,1.0,0.08
151.0,16,0.9459,0.0,1.0,0.08
152.0,16,0.9459,0.0,1.0,0.08
153.0,16,0.9459,0.0,1.0,0.08
154.0,16,0.9459,0.0,1.0,0.08
155.0,16,0.9459,0.0,1.0,0.08
156.0,16,0.9459,0.0,1.0,0.08
157.0,16,0.9459,0.0,1.0,0.08
158.0,16,0.9459,0.0,1.0,0.08
159.0,16,0.9459,0.0,1.0,0.08
160.0,16,0.9459,0.0,1.0,0.08
161.0,16,0.9459,0.0,1.0,0.08
162.0,16,0.9459,0.0,1.0,0.08
163.0,16,0.9459,0.0,1.0,0.08
164.0,16,0.9459,0.0,1.0,0.08
165.0,16,0.9459,0.0,1.0,0.08
166.0,16,0.9459,0.0,1.0,0.08
167.0,16,0.9459,0.0,1.0,0.08
168.0,16,0.9459,0.0,1.0,0.08
169.0,16,0.9459,0.0,1.0,0.08
170.0,16,0.9459,0.0,1.0,0.08
171.0,16,0.9459,0.0,1.0,0.08
172.0,16,0.9459,0.0,1.0,0.08
173.0,16,0.9459,0.0,1.0,0.08
174.0,16,0.955,0.0,1.0,0.08
175.0,16,0.955,0.0,1.0,0.08
176.0,16,0.955,0.0,1.0,0.08
177.0,16,0.955,0.0,1.0,0.08
178.0,16,0.9459,0.0,1.0,0.08
179.0,16,0.9459,0.0,1.0,0.08
180.0,16,0.9459,0.0,1.0,0.08
181.0,16,0.9459,0.0,1.0,0.08
182.0,16,0.991,0.0,1.0,0.08
183.0,16,0.991,0.0,1.0,0.08
184.0,16,0.991,0.0,1.0,0.08
185.0,16,0.991,0.0,1.0,0.08
186.0,16,0.991,0.0,1.0,0.08
187.0,16,0.991,0.0,1.0,0.08
188.0,16,0.991,0.0,1.0,0.08
189.0,16,0.991,0.0,1.0,0.08
