time,availability
0.0,1.0
1.0,1.0
2.0,1.0
3.0,1.0
4.0,1.0
5.0,1.0
6.0,1.0
7.0,1.0
8.0,1.0
9.0,1.0
10.0,1.0
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,0.9995258416311048
17.0,0.9971550497866286
18.0,0.9966808914177335
19.0,0.9943100995732574
20.0,0.9943100995732574
21.0,0.9943100995732574
22.0,0.9943100995732574
23.0,0.9938359412043622
24.0,0.990990990990991
25.0,0.990990990990991
26.0,0.9900426742532006
27.0,0.9895685158843053
28.0,0.9895685158843053
29.0,0.9895685158843053
30.0,0.9895685158843053
31.0,0.9895685158843053
32.0,0.9895685158843053
33.0,0.9895685158843053
34.0,0.9895685158843053
35.0,0.9895685158843053
36.0,0.9895685158843053
37.0,0.9924134660976767
38.0,0.9924134660976767
39.0,0.9919393077287815
40.0,0.9919393077287815
41.0,0.9919393077287815
42.0,0.9919393077287815
43.0,0.9919393077287815
44.0,0.9919393077287815
45.0,0.9919393077287815
46.0,0.9924134660976767
47.0,0.9924134660976767
48.0,0.9947842579421526
49.0,0.9947842579421526
50.0,0.9947842579421526
51.0,0.9947842579421526
52.0,0.9947842579421526
53.0,0.9947842579421526
54.0,0.9947842579421526
55.0,0.9947842579421526
56.0,0.9947842579421526
57.0,0.9985775248933143
58.0,0.9985775248933143
59.0,0.9985775248933143
60.0,0.9981033665244191
61.0,0.9981033665244191
62.0,0.9981033665244191
63.0,0.9957325746799431
64.0,0.9957325746799431
65.0,0.9952584163110479
66.0,0.9952584163110479
67.0,0.9952584163110479
68.0,0.9952584163110479
69.0,0.9952584163110479
70.0,0.9952584163110479
71.0,0.9952584163110479
72.0,0.9952584163110479
73.0,0.9952584163110479
74.0,0.9952584163110479
75.0,0.9952584163110479
76.0,0.9952584163110479
77.0,0.9952584163110479
78.0,0.9952584163110479
79.0,0.9952584163110479
80.0,0.992887624466572
81.0,0.9933617828354669
82.0,0.9938359412043624
83.0,0.9914651493598864
84.0,0.9909909909909912
85.0,0.9909909909909912
86.0,0.9909909909909912
87.0,0.9909909909909912
88.0,0.9900426742532007
89.0,0.9900426742532007
90.0,0.9900426742532007
91.0,0.9924134660976767
92.0,0.9924134660976767
93.0,0.992887624466572
94.0,0.992887624466572
95.0,0.9933617828354672
96.0,0.9933617828354672
97.0,0.9933617828354672
98.0,0.9933617828354672
99.0,0.9928876244665717
100.0,0.9928876244665717
101.0,0.9933617828354672
102.0,0.9933617828354672
103.0,0.9933617828354672
104.0,0.9933617828354672
105.0,0.9938359412043622
106.0,0.9933617828354672
107.0,0.9938359412043624
108.0,0.9962067330488383
109.0,0.9962067330488383
110.0,0.9962067330488383
111.0,0.9962067330488383
112.0,0.9962067330488383
113.0,0.9962067330488383
114.0,0.9962067330488383
115.0,0.9957325746799431
116.0,0.9952584163110479
117.0,0.9952584163110479
118.0,0.9957325746799431
119.0,0.9952584163110481
120.0,0.9952584163110481
121.0,0.9947842579421526
122.0,0.9947842579421526
123.0,0.9947842579421526
124.0,0.9947842579421526
125.0,0.9971550497866288
126.0,0.9976292081555238
127.0,0.9976292081555238
128.0,0.9976292081555238
129.0,0.9971550497866286
130.0,0.9966808914177335
131.0,0.9966808914177335
132.0,0.9966808914177335
133.0,0.9966808914177335
134.0,0.9971550497866286
135.0,0.9971550497866286
136.0,0.9971550497866286
137.0,0.9966808914177335
138.0,0.9947842579421526
139.0,0.9815078236130866
140.0,0.9815078236130866
141.0,0.9810336652441916
142.0,0.9810336652441916
143.0,0.9810336652441916
144.0,0.9810336652441916
145.0,0.9810336652441916
146.0,0.9805595068752965
147.0,0.9805595068752965
148.0,0.9805595068752965
149.0,0.9829302987197724
150.0,0.9805595068752964
151.0,0.9805595068752964
152.0,0.9805595068752964
153.0,0.9805595068752964
154.0,0.9829302987197724
155.0,0.9800853485064011
156.0,0.9800853485064011
157.0,0.9800853485064011
158.0,0.9933617828354669
159.0,0.9933617828354669
160.0,0.992887624466572
161.0,0.992887624466572
162.0,0.992887624466572
163.0,0.9900426742532006
164.0,0.9900426742532006
165.0,0.9900426742532006
166.0,0.990990990990991
167.0,0.990990990990991
168.0,0.990990990990991
169.0,0.990990990990991
170.0,0.990990990990991
171.0,0.9914651493598863
172.0,0.9914651493598863
173.0,0.9919393077287815
174.0,0.9947842579421526
175.0,0.9919393077287815
176.0,0.9919393077287815
177.0,0.9914651493598863
178.0,0.9919393077287815
179.0,0.9924134660976767
180.0,0.9952584163110479
181.0,0.9952584163110479
182.0,0.9952584163110479
183.0,0.9952584163110479
184.0,0.9957325746799431
185.0,0.9957325746799431
186.0,0.9957325746799431
187.0,0.9957325746799431
188.0,0.9957325746799431
189.0,0.9938359412043622
190.0,0.9938359412043622
191.0,0.9938359412043622
192.0,0.9938359412043622
193.0,0.9962067330488383
194.0,0.9962067330488383
195.0,0.9957325746799431
196.0,0.9938359412043622
197.0,0.9938359412043622
198.0,0.9938359412043622
199.0,0.9933617828354669
200.0,0.9928876244665717
201.0,0.9928876244665717
202.0,0.9924134660976767
203.0,0.9924134660976767
204.0,0.9947842579421526
205.0,0.9952584163110479
206.0,0.9957325746799431
207.0,0.9957325746799431
208.0,0.9957325746799431
209.0,0.9957325746799431
210.0,0.9957325746799431
211.0,0.9957325746799431
212.0,0.9952584163110479
213.0,0.9952584163110479
214.0,0.9952584163110479
215.0,0.9952584163110479
216.0,0.9952584163110479
217.0,0.9928876244665717
218.0,0.9900426742532006
219.0,0.9895685158843053
220.0,0.9895685158843053
221.0,0.9914651493598863
