time,lb ratio
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,nan
13.0,nan
14.0,0.0947368421052632
15.0,0.0652920962199313
16.0,0.1020840692334864
17.0,0.1288047107387847
18.0,0.0998622775512408
19.0,0.1975736255806612
20.0,0.185849410001873
21.0,0.2529453259072867
22.0,0.3659744696924173
23.0,0.3535311308815763
24.0,0.3660499721237833
25.0,0.3520229573334174
26.0,0.385707929887958
27.0,0.385707929887958
28.0,0.3638443935926773
29.0,0.3638443935926773
30.0,0.3638443935926773
31.0,0.333950920155544
32.0,0.333950920155544
33.0,0.2981476036459864
34.0,0.2072610970599649
35.0,0.191486668026474
36.0,0.1720984259783415
37.0,0.1769508886304861
38.0,0.2573040480266172
39.0,0.1729302474807134
40.0,0.1868887583370771
41.0,0.2125918218384556
42.0,0.1995756621723359
43.0,0.2077764277035237
44.0,0.2409829471939678
45.0,0.2338751763728086
46.0,0.2091571823953626
47.0,0.2240257544400709
48.0,0.180090159933385
49.0,0.1666785581214672
50.0,0.2604187047544512
51.0,0.222299273854787
52.0,0.2375141121445084
53.0,0.2355461208918833
54.0,0.2103019424322072
55.0,0.234720686382922
56.0,0.2401054181846368
57.0,0.2721164613661813
58.0,0.275883301568685
59.0,0.2647918303220739
60.0,0.2342216626288062
61.0,0.2184127801165505
62.0,0.2184127801165505
63.0,0.2264654218983801
64.0,0.2794893076847965
65.0,0.262386332322954
66.0,0.3191509451777992
67.0,0.30619366094795
68.0,0.2891005896577068
69.0,0.2746796181866269
70.0,0.2348105573112143
71.0,0.2637259739790822
72.0,0.2805597946315554
73.0,0.2491473078138198
74.0,0.2684102955959212
75.0,0.2626975169300225
76.0,0.2646078492047353
77.0,0.287425097165317
78.0,0.261865561987714
79.0,0.3079507278835386
80.0,0.3257799978942688
81.0,0.3023143534480089
