time,satisfaction
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,nan
13.0,1.0
14.0,nan
15.0,1.0
16.0,0.7753608308718813
17.0,0.7704053282994384
18.0,0.8913403600230151
19.0,0.9463926004407334
20.0,0.901826574015528
21.0,0.9539046042200965
22.0,0.8801306750330095
23.0,0.9518948018688127
24.0,0.9650141322477764
25.0,0.9784174178815749
26.0,0.9573404322532201
27.0,0.9483537338878414
28.0,0.9526456740838107
29.0,0.9811009492627526
30.0,0.9237763502075969
31.0,0.9976531786711634
32.0,0.9501916744602267
33.0,0.9861568744730689
34.0,0.961236629070565
35.0,0.9572352365071568
36.0,0.9508336914349492
37.0,0.9557936036544651
38.0,0.8583728017714531
39.0,0.9326887746589501
40.0,0.8834350936871711
41.0,0.9208044148404633
