time,satisfaction
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0769230769230769
15.0,0.0454545454545455
16.0,0.0540540540540541
17.0,0.0517241379310345
18.0,0.0297029702970297
19.0,0.0285714285714286
20.0,0.031413612565445
21.0,0.0427350427350427
22.0,0.0355871886120996
23.0,0.0396341463414634
24.0,0.0369318181818182
25.0,0.0357142857142857
26.0,0.032345013477089
27.0,0.0346666666666667
28.0,0.0343007915567282
29.0,0.0342105263157895
30.0,0.0342105263157895
31.0,0.0368421052631579
32.0,0.0368421052631579
33.0,0.0368421052631579
34.0,0.0394736842105263
35.0,0.0421052631578947
36.0,0.0421052631578947
37.0,0.0421052631578947
38.0,0.0447368421052632
39.0,0.0447368421052632
40.0,0.0473684210526316
41.0,0.0526315789473684
42.0,0.05
43.0,0.05
44.0,0.0526315789473684
45.0,0.0526315789473684
46.0,0.0526315789473684
47.0,0.0526315789473684
48.0,0.0526315789473684
49.0,0.0526315789473684
50.0,0.0526315789473684
51.0,0.0526315789473684
52.0,0.0526315789473684
53.0,0.0526315789473684
54.0,0.0526315789473684
55.0,0.05
56.0,0.05
57.0,0.05
58.0,0.0552631578947368
59.0,0.0578947368421053
60.0,0.0578947368421053
61.0,0.0526315789473684
62.0,0.0526315789473684
63.0,0.05
64.0,0.0473684210526316
65.0,0.0473684210526316
66.0,0.0447368421052632
67.0,0.0447368421052632
68.0,0.0421052631578947
69.0,0.0368421052631579
70.0,0.0368421052631579
71.0,0.0368421052631579
72.0,0.0368421052631579
73.0,0.0368421052631579
74.0,0.0315789473684211
75.0,0.0315789473684211
76.0,0.0342105263157895
77.0,0.0315789473684211
78.0,0.0342105263157895
79.0,0.0368421052631579
80.0,0.0368421052631579
81.0,0.0342105263157895
82.0,0.0315789473684211
83.0,0.0342105263157895
84.0,0.0315789473684211
85.0,0.0315789473684211
86.0,0.0315789473684211
87.0,0.0315789473684211
88.0,0.0342105263157895
89.0,0.0368421052631579
90.0,0.0368421052631579
91.0,0.0368421052631579
92.0,0.0342105263157895
93.0,0.0342105263157895
94.0,0.0315789473684211
95.0,0.0289473684210526
96.0,0.0289473684210526
97.0,0.0263157894736842
98.0,0.0289473684210526
99.0,0.0315789473684211
100.0,0.0368421052631579
101.0,0.0368421052631579
102.0,0.0368421052631579
103.0,0.0368421052631579
104.0,0.0315789473684211
105.0,0.0315789473684211
106.0,0.0342105263157895
107.0,0.0342105263157895
108.0,0.0342105263157895
109.0,0.0394736842105263
110.0,0.0394736842105263
111.0,0.0368421052631579
112.0,0.0368421052631579
113.0,0.0342105263157895
114.0,0.0342105263157895
115.0,0.0368421052631579
116.0,0.0342105263157895
117.0,0.0315789473684211
118.0,0.0263157894736842
119.0,0.0236842105263158
120.0,0.0210526315789474
121.0,0.0210526315789474
122.0,0.0289473684210526
123.0,0.0289473684210526
124.0,0.0289473684210526
125.0,0.0289473684210526
126.0,0.0289473684210526
127.0,0.0263157894736842
128.0,0.0263157894736842
129.0,0.0315789473684211
130.0,0.0315789473684211
131.0,0.0315789473684211
132.0,0.0315789473684211
133.0,0.0315789473684211
134.0,0.0315789473684211
135.0,0.0315789473684211
136.0,0.0263157894736842
137.0,0.0289473684210526
138.0,0.0263157894736842
139.0,0.0289473684210526
140.0,0.0289473684210526
141.0,0.0289473684210526
142.0,0.0236842105263158
143.0,0.0263157894736842
144.0,0.0236842105263158
145.0,0.0236842105263158
146.0,0.0263157894736842
147.0,0.0236842105263158
148.0,0.0210526315789474
149.0,0.0210526315789474
150.0,0.0210526315789474
151.0,0.0210526315789474
152.0,0.0210526315789474
153.0,0.0210526315789474
154.0,0.0210526315789474
155.0,0.0210526315789474
156.0,0.0210526315789474
157.0,0.0210526315789474
158.0,0.0210526315789474
159.0,0.0210526315789474
160.0,0.0210526315789474
161.0,0.0184210526315789
162.0,0.0184210526315789
163.0,0.0184210526315789
164.0,0.0157894736842105
165.0,0.0184210526315789
166.0,0.0131578947368421
167.0,0.0131578947368421
168.0,0.0131578947368421
169.0,0.0131578947368421
170.0,0.0157894736842105
171.0,0.0157894736842105
172.0,0.0184210526315789
173.0,0.0184210526315789
174.0,0.0157894736842105
175.0,0.0157894736842105
176.0,0.0105263157894737
177.0,0.0105263157894737
178.0,0.0078947368421053
179.0,0.0078947368421053
180.0,0.0078947368421053
181.0,0.0078947368421053
182.0,0.0078947368421053
183.0,0.0078947368421053
184.0,0.0078947368421053
185.0,0.0078947368421053
186.0,0.0078947368421053
187.0,0.0078947368421053
188.0,0.0078947368421053
189.0,0.0078947368421053
190.0,0.0078947368421053
191.0,0.0105263157894737
192.0,0.0078947368421053
193.0,0.0105263157894737
194.0,0.0105263157894737
195.0,0.0105263157894737
196.0,0.0131578947368421
197.0,0.0131578947368421
198.0,0.0157894736842105
199.0,0.0157894736842105
200.0,0.0184210526315789
201.0,0.0157894736842105
202.0,0.0157894736842105
