time,lb ratio
0.0,nan
1.0,nan
2.0,nan
3.0,nan
4.0,nan
5.0,nan
6.0,nan
7.0,nan
8.0,nan
9.0,nan
10.0,nan
11.0,nan
12.0,nan
13.0,nan
14.0,0.0526315789473684
15.0,0.0526315789473684
16.0,0.0571996027805362
17.0,0.0797534376481745
18.0,0.0797534376481745
19.0,0.1083072979251783
20.0,0.1356110483462543
21.0,0.1761292996270203
22.0,0.1761292996270203
23.0,0.149737302977233
24.0,0.149737302977233
25.0,0.149737302977233
26.0,0.1760978203083467
27.0,0.1751075802714333
28.0,0.1751075802714333
29.0,0.1751075802714333
30.0,0.1751075802714333
31.0,0.1788646468824321
32.0,0.1788646468824321
33.0,0.1788646468824321
34.0,0.199861334855931
35.0,0.2028973745079739
36.0,0.2028973745079739
37.0,0.2028973745079739
38.0,0.2001597647101541
39.0,0.2001597647101541
40.0,0.217798257613939
41.0,0.2698608314046109
42.0,0.2668386357122384
43.0,0.2668386357122384
44.0,0.2666915124159729
45.0,0.2666915124159729
46.0,0.2666915124159729
47.0,0.2666915124159729
48.0,0.2666915124159729
49.0,0.2666915124159729
50.0,0.2666915124159729
51.0,0.2666915124159729
52.0,0.2666915124159729
53.0,0.2666915124159729
54.0,0.2666915124159729
55.0,0.2629369856961396
56.0,0.2629369856961396
57.0,0.2913874601068205
58.0,0.3074678924761279
59.0,0.3110537078893553
60.0,0.3110537078893553
61.0,0.3101619078370773
62.0,0.3101619078370773
63.0,0.2593230287614948
64.0,0.2584776411521932
65.0,0.2584776411521932
66.0,0.2547311675414952
67.0,0.2611490558457212
68.0,0.2276459944723918
69.0,0.2049998995197042
70.0,0.1906856089009585
71.0,0.1906856089009585
72.0,0.1906856089009585
73.0,0.1906856089009585
74.0,0.1876389918458117
75.0,0.1876389918458117
76.0,0.2101614521572562
77.0,0.2188479412082568
78.0,0.2236234506224515
79.0,0.228213977566868
80.0,0.2270508074467514
81.0,0.2275937886491686
82.0,0.1755904913799651
83.0,0.2222550256313911
84.0,0.2188479412082567
85.0,0.2229685091389561
86.0,0.2229685091389561
87.0,0.2229685091389561
88.0,0.2278317330178557
89.0,0.250285155613492
90.0,0.250285155613492
91.0,0.250285155613492
92.0,0.2241407936244397
93.0,0.2241407936244397
94.0,0.1836277234824711
95.0,0.1780858796607888
96.0,0.1780858796607888
97.0,0.1555822773101471
98.0,0.1499603279555673
99.0,0.1544261800633389
100.0,0.2279471839337955
101.0,0.2279471839337955
102.0,0.2279471839337955
103.0,0.2279471839337955
104.0,0.2103937425427549
105.0,0.2103937425427549
106.0,0.2370152354570637
107.0,0.2370152354570637
108.0,0.2370152354570637
109.0,0.2471544715447155
110.0,0.2471544715447155
111.0,0.2412816883284004
112.0,0.2412816883284004
113.0,0.2145546895525002
114.0,0.2145546895525002
115.0,0.2205451284070526
116.0,0.2149122807017544
117.0,0.2089899477634872
118.0,0.1977097555604493
119.0,0.1920126950542185
120.0,0.1463395330431342
121.0,0.1463395330431342
122.0,0.1614035087719298
123.0,0.1614035087719298
124.0,0.1614035087719298
125.0,0.1614035087719298
126.0,0.1614035087719298
127.0,0.1350743270389715
128.0,0.1350743270389715
129.0,0.1682534846522964
130.0,0.1888203266787659
131.0,0.1888203266787659
132.0,0.1888203266787659
133.0,0.1888203266787659
134.0,0.1888203266787659
135.0,0.1888203266787659
136.0,0.1371685026519788
137.0,0.1437184291999348
138.0,0.2436090225563909
139.0,0.1477023108689922
140.0,0.1477023108689922
141.0,0.1477023108689922
142.0,0.112519518692018
143.0,0.1408202781200493
144.0,0.1345422379478107
145.0,0.1345422379478107
146.0,0.1412928293889085
147.0,0.1129136325928657
148.0,0.1067405355493998
149.0,0.1067405355493998
150.0,0.1067405355493998
151.0,0.1067405355493998
152.0,0.1067405355493998
153.0,0.1067405355493998
154.0,0.1067405355493998
155.0,0.1067405355493998
156.0,0.1067405355493998
157.0,0.1067405355493998
158.0,0.1067405355493998
159.0,0.1067405355493998
160.0,0.1067405355493998
161.0,0.1007307372120988
162.0,0.1007307372120988
163.0,0.1007307372120988
164.0,0.094885100074129
165.0,0.1007307372120988
166.0,0.0892044927132646
167.0,0.0892044927132646
168.0,0.0892044927132646
169.0,0.0892044927132646
170.0,0.094885100074129
171.0,0.094885100074129
172.0,0.1215052809088489
173.0,0.1215052809088489
174.0,0.1611842105263158
175.0,0.1611842105263158
176.0,0.1203007518796993
177.0,0.1203007518796993
178.0,0.0955165692007797
179.0,0.0955165692007797
180.0,0.0955165692007797
181.0,0.0955165692007797
182.0,0.0955165692007797
183.0,0.0955165692007797
184.0,0.0955165692007797
185.0,0.0955165692007797
186.0,0.0955165692007797
187.0,0.0955165692007797
188.0,0.0955165692007797
189.0,0.0955165692007797
190.0,0.0955165692007797
191.0,0.0804789752158173
192.0,0.0759149529452771
193.0,0.0804789752158173
194.0,0.0804789752158173
195.0,0.0804789752158173
196.0,0.084059562204076
197.0,0.084059562204076
198.0,0.0888157894736842
199.0,0.0888157894736842
200.0,0.0936965300116351
201.0,0.073426071991969
